Country,advanced,high,intermediate,low
Singapore,54,84,96,99
Hong Kong SAR,38,78,96,100
"Korea, Rep. of",37,77,95,99
Chinese Taipei,37,78,96,100
Japan,33,74,95,99
Northern Ireland,26,60,85,96
England,21,53,83,96
Russian Federation,20,61,91,99
Ireland,15,52,84,97
Turkey (5),15,43,70,88
United States,14,46,77,93
Lithuania,13,48,81,96
Norway (5),13,48,82,97
Cyprus,12,42,77,95
Latvia,11,50,85,98
Finland,11,42,78,95
Czech Republic,10,42,78,96
Australia,10,36,70,90
Austria,9,45,84,98
Hungary,9,39,74,93
Portugal,9,39,74,95
Denmark,8,37,75,95
Belgium (Flemish),8,40,80,97
Bulgaria,8,37,71,90
Poland,8,36,73,93
Azerbaijan,8,36,72,92
Sweden,8,36,74,94
Netherlands,7,44,84,98
Serbia,7,32,68,89
United Arab Emirates,7,26,53,78
Canada,6,32,69,92
New Zealand,6,25,56,83
Germany,6,36,75,96
Albania,5,26,62,86
Slovak Republic,5,31,71,91
Malta,5,32,69,91
North Macedonia,5,21,52,78
Kazakhstan,5,29,71,95
Bahrain,4,21,54,81
Italy,4,30,73,95
Croatia,4,28,70,95
Spain,4,27,65,91
France,3,21,57,85
Oman,3,12,33,62
Georgia,3,20,56,84
Armenia,3,23,64,92
Qatar,2,14,40,70
"Iran, Islamic Rep. of",2,13,39,68
Montenegro,1,11,43,76
Morocco,1,6,18,43
South Africa (5),1,5,16,37
Saudi Arabia,1,6,23,51
Kuwait,1,6,21,47
Kosovo,1,8,37,73
Chile,1,7,33,70
Bosnia and Herzegovina,1,9,40,76
Pakistan,0,1,8,27
Philippines,0,1,6,19
